CaseOrder,StateId,State,CountyId,County,Population,AreaId,Area,TimeZoneId,TimeZone,Children,Age,GenerationId,Generation,Income,MaritalId,Marital,GenderId,Gender,Churn,Outage_sec_perweek,Outage_sec_perweek2,Email,Contacts,Yearly_equip_failure,Techie,Techie2,ContractId,Contract,Port_modem,Port_modem2,Tablet,Tablet2,Tablet3,InternetService,InternetService2,Phone,Phone2,Multiple,Multiple2,OnlineSecurity,OnlineSecurity2,OnlineBackup,OnlineBackup2,DeviceProtection,DeviceProtection2,TechSupport,TechSupport2,StreamingTV,StreamingTV2,StreamingMovies,StreamingMovies2,PaperlessBilling,PaperlessBilling2,PaymentMethodId,PaymentMethod,Tenure,Tenure2,MonthlyCharge,MonthlyCharge2,Bandwidth_GB_Year,Bandwidth_GB_Year2,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
5812,51,SC,1154,Oconee,12153,2,Suburban,90,America/New_York,3,32,4,Millennials,58057.2,1,Married,0,Female,No,10.7,10.74677,8,2,2,0,No,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,0,No,1,Yes,11,Mailed Check,44.9,44.89823,194.98,194.9768,4183,4183.048936,4,3,2,3,4,2,5,2
5813,44,NY,590,Essex,1199,2,Suburban,90,America/New_York,4,72,1,Boomers,29830.87,2,Never Married,0,Female,No,12.8,12.83369,15,2,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Credit Card (automatic),51,50.98192,169.94,169.9378,4477.6,4477.609834,3,2,3,3,3,3,3,2
5814,25,IN,1492,Steuben,1399,1,Urban,78,America/Detroit,3,88,5,Post War,57580.18,2,Never Married,1,Male,No,7.4,7.378299,15,0,0,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,Bank Transfer(automatic),56.9,56.88725,182.44,182.4433,5446,5445.967827,3,4,4,4,5,4,4,3
5815,14,CA,1333,Riverside,65347,2,Suburban,88,America/Los_Angeles,4,70,1,Boomers,12621.78,3,Separated,0,Female,No,2.9,2.911116,15,2,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,11,Mailed Check,61.3,61.33886,164.97,164.967,5871.9,5871.888679,3,3,2,3,2,3,3,3
5816,10,AK,1716,Yukon-Koyukuk,172,3,Rural,74,America/Anchorage,1,84,5,Post War,48689.21,0,Divorced,1,Male,No,15.5,15.49091,12,1,0,1,Yes,0,Month-to-month,0,No,0,No,,None,None,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,10,Electronic Check,48,47.96511,117.52,117.5152,4181.7,4181.676431,4,3,4,2,4,3,4,3
5817,36,MT,984,Madison,1924,3,Rural,77,America/Denver,1,75,1,Boomers,48524.09,1,Married,1,Male,Yes,7.5,7.516963,15,0,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,11,Mailed Check,54.2,54.23273,252.62,252.624,4968.7,4968.719293,3,3,3,6,2,5,4,4
5818,56,VA,294,Brunswick,222,1,Urban,90,America/New_York,4,77,5,Post War,32773.01,1,Married,0,Female,No,13.4,13.44778,10,1,0,0,No,2,Two Year,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,10,Electronic Check,57.8,57.78109,124.96,124.9643,4769,4768.978651,2,3,2,3,5,3,3,2
5819,29,MA,1694,Worcester,11484,2,Suburban,90,America/New_York,0,65,1,Boomers,27535.44,2,Never Married,1,Male,No,9.2,9.233939,7,1,0,0,No,0,Month-to-month,0,No,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,Bank Transfer(automatic),67.9,67.90183,252.64,252.6378,6171.6,6171.559833,4,4,3,5,3,4,3,4
5820,24,IL,1682,Winnebago,27224,1,Urban,76,America/Chicago,3,26,4,Millennials,41514.67,3,Separated,1,Male,No,8.4,8.370994,17,0,1,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,11,Mailed Check,62.2,62.24788,104.98,104.9781,5848,5848.006408,4,5,4,3,4,4,5,3
5821,47,OR,1626,Wallowa,584,3,Rural,88,America/Los_Angeles,4,62,1,Boomers,33247.66,1,Married,1,Male,No,17.1,17.10685,11,1,0,0,No,1,One year,0,No,1,Yes,,None,None,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,1,Yes,10,Electronic Check,66.7,66.70369,137.47,137.4684,5859.8,5859.752162,3,3,4,5,4,5,3,4
5822,54,TX,1037,Medina,640,1,Urban,76,America/Chicago,1,20,3,GerZ,17163.24,4,Widowed,0,Female,No,7.2,7.175714,14,1,1,1,Yes,0,Month-to-month,0,No,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Credit Card (automatic),62.3,62.32519,174.99,174.9919,5555.9,5555.86987,5,5,5,3,4,3,4,5
5823,54,TX,1537,Terry,11333,2,Suburban,76,America/Chicago,0,21,3,GerZ,9572.9,3,Separated,0,Female,No,7.1,7.144953,12,0,0,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,Bank Transfer(automatic),60,60.04073,159.95,159.9512,5174.3,5174.273895,4,5,4,4,4,5,4,6
5824,26,KS,1328,Riley,3445,1,Urban,76,America/Chicago,2,37,4,Millennials,4874.95,0,Divorced,0,Female,No,6.7,6.720424,11,0,1,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,1,Yes,0,No,1,Credit Card (automatic),68.1,68.07677,147.44,147.4421,5837.5,5837.517911,4,4,4,2,6,3,3,1
5825,45,OH,1580,Tuscarawas,7349,1,Urban,90,America/New_York,3,79,5,Post War,30057.73,1,Married,0,Female,No,17.3,17.30888,11,0,0,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,0,Bank Transfer(automatic),59.8,59.79068,129.96,129.9621,5586.4,5586.42851,4,3,3,4,3,5,4,4
5826,53,TN,387,Chester,510,2,Suburban,76,America/Chicago,4,29,4,Millennials,21616.86,4,Widowed,1,Male,No,14.4,14.41202,10,1,0,0,No,1,One year,1,Yes,1,Yes,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,11,Mailed Check,58.1,58.09895,139.93,139.9349,5698.4,5698.426541,1,2,3,5,2,3,3,4
5827,38,ND,1348,Rolette,6982,3,Rural,76,America/Chicago,0,26,4,Millennials,13101.08,2,Never Married,1,Male,No,10.8,10.8327,7,1,0,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,1,Yes,1,Yes,10,Electronic Check,62.1,62.11937,149.96,149.9598,5481.4,5481.366195,4,4,4,3,5,3,4,3
5828,25,IN,1647,Wayne,162,1,Urban,79,America/Indiana/Indianapolis,2,52,2,GerX,32007.27,3,Separated,1,Male,No,10.7,10.72061,12,0,0,1,Yes,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,10,Electronic Check,44.4,44.39429,152.48,152.4798,4091.4,4091.382815,2,2,3,4,4,1,4,4
5829,36,MT,612,Flathead,410,3,Rural,77,America/Denver,0,23,3,GerZ,23704.58,0,Divorced,1,Male,No,9.8,9.787662,13,0,1,0,No,1,One year,0,No,0,No,,None,None,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,No,0,Bank Transfer(automatic),71.3,71.30912,235.19,235.1884,6668,6667.97528,4,3,4,4,3,5,5,5
5830,44,NY,513,Delaware,1749,3,Rural,90,America/New_York,3,39,4,Millennials,6536.16,0,Divorced,0,Female,No,12.7,12.67033,10,1,0,0,No,2,Two Year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Credit Card (automatic),62,62.04916,139.97,139.965,5866.5,5866.495925,4,4,6,3,5,4,4,2
5831,25,IN,906,Lake,62274,1,Urban,76,America/Chicago,1,32,4,Millennials,27450.44,2,Never Married,1,Male,No,11.1,11.05688,10,2,0,0,No,0,Month-to-month,1,Yes,1,Yes,,#N/A,DSL,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,0,Bank Transfer(automatic),67.2,67.19295,154.99,154.9919,6411.2,6411.160905,4,4,5,3,4,4,5,3
5832,35,MS,1590,Union,3108,2,Suburban,76,America/Chicago,0,84,5,Post War,39086.8,3,Separated,0,Female,No,14,14.03612,9,1,0,1,Yes,1,One year,0,No,0,No,,None,None,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,Bank Transfer(automatic),63.3,63.28078,187.66,187.656,5611.6,5611.622091,2,3,2,4,3,3,3,3
5833,20,GA,181,Baker,2008,3,Rural,90,America/New_York,0,29,4,Millennials,16604.79,3,Separated,1,Male,No,11.8,11.78548,18,1,0,1,Yes,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,0,No,1,Yes,1,Yes,0,No,0,No,1,Credit Card (automatic),71.6,71.58072,129.95,129.9483,6590.3,6590.287954,3,2,2,2,4,2,2,3
5834,44,NY,1399,Saratoga,14429,1,Urban,90,America/New_York,5,43,2,GerX,32669.61,4,Widowed,1,Male,No,4.9,4.866722,13,3,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,Bank Transfer(automatic),68.6,68.63236,114.95,114.9509,6385.8,6385.814454,6,4,4,4,3,7,5,4
5835,24,IL,1225,Peoria,146,3,Rural,76,America/Chicago,6,85,5,Post War,36674.22,0,Divorced,1,Male,No,9.7,9.698319,7,1,0,0,No,1,One year,0,No,0,No,,None,None,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,No,0,No,11,Mailed Check,65.4,65.3851,165.02,165.0182,5902.5,5902.542522,4,4,4,3,3,3,4,3
5836,46,OK,383,Cherokee,1206,2,Suburban,76,America/Chicago,1,39,4,Millennials,70057.28,2,Never Married,0,Female,No,9.8,9.758572,13,2,0,0,No,0,Month-to-month,1,Yes,0,No,,None,None,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,11,Mailed Check,64.1,64.12772,139.97,139.9678,5611,5611.04531,3,2,3,4,5,3,5,3
5837,60,WV,1076,Monroe,1058,1,Urban,90,America/New_York,0,36,4,Millennials,24120.92,4,Widowed,1,Male,No,12.6,12.57727,12,2,0,0,No,1,One year,0,No,1,Yes,,#N/A,DSL,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),70,69.97238,245.15,245.147,6854.1,6854.114445,3,5,4,4,3,3,3,4
5838,54,TX,969,Lubbock,6880,2,Suburban,76,America/Chicago,0,56,2,GerX,52869.22,4,Widowed,0,Female,Yes,11.3,11.26354,13,1,0,0,No,0,Month-to-month,1,Yes,0,No,,None,None,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,10,Electronic Check,57.4,57.44027,245.16,245.1612,5385.2,5385.186807,3,3,3,1,5,3,2,3
5839,15,CO,263,Boulder,4552,1,Urban,77,America/Denver,0,18,3,GerZ,37829.04,2,Never Married,0,Female,No,5.5,5.543502,8,1,0,0,No,0,Month-to-month,0,No,1,Yes,,#N/A,DSL,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Credit Card (automatic),50.5,50.46018,177.49,177.4876,5066.9,5066.934116,1,1,3,2,4,2,1,2
5840,40,NH,386,Cheshire,5307,3,Rural,90,America/New_York,2,77,5,Post War,22328.55,1,Married,1,Male,No,8.9,8.932966,12,1,0,0,No,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,10,Electronic Check,62.2,62.18037,184.96,184.9647,5479,5479.036356,4,5,4,2,5,2,3,2
5841,48,PA,805,Indiana,275,1,Urban,90,America/New_York,1,79,5,Post War,75196.45,4,Widowed,0,Female,No,8.4,8.388368,13,6,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Yes,11,Mailed Check,61.8,61.82935,139.99,139.9875,5562.4,5562.421296,4,3,3,4,3,4,3,5
5842,44,NY,513,Delaware,384,3,Rural,90,America/New_York,1,33,4,Millennials,33851.87,2,Never Married,1,Male,No,8,7.973509,13,1,1,0,No,2,Two Year,0,No,0,No,,None,None,0,No,0,No,0,No,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Credit Card (automatic),60.7,60.69462,115,114.9976,5316.7,5316.712002,5,5,6,5,4,4,4,4
5843,44,NY,1503,Suffolk,29018,1,Urban,90,America/New_York,3,56,2,GerX,62276.09,3,Separated,0,Female,No,9.7,9.675976,10,0,0,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,11,Mailed Check,61.9,61.85233,214.95,214.9525,5466.3,5466.255604,3,3,2,5,4,3,4,4
5844,51,SC,1176,Orangeburg,5615,1,Urban,90,America/New_York,0,88,5,Post War,26999.2,0,Divorced,1,Male,No,9.6,9.573997,11,0,0,0,No,2,Two Year,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No,1,Yes,10,Electronic Check,57.2,57.17893,124.98,124.9781,4723.5,4723.54426,3,3,3,2,6,3,3,2
5845,31,ME,1195,Oxford,62,3,Rural,90,America/New_York,0,61,1,Boomers,21558.19,0,Divorced,1,Male,No,11.6,11.5891,3,2,1,1,Yes,0,Month-to-month,1,Yes,1,Yes,,None,None,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,11,Mailed Check,70,69.95421,82.5,82.49655,5848.9,5848.90356,3,3,5,4,4,4,5,3
5846,60,WV,657,Gilmer,615,3,Rural,90,America/New_York,1,50,2,GerX,15215.24,4,Widowed,0,Female,No,8.9,8.94767,8,1,2,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,11,Mailed Check,59.2,59.21586,139.98,139.983,5475.3,5475.340643,2,3,3,2,4,2,3,3
5847,19,FL,1530,Taylor,1162,1,Urban,90,America/New_York,1,57,2,GerX,22713.63,0,Divorced,0,Female,No,10.1,10.0785,14,0,1,1,Yes,0,Month-to-month,1,Yes,0,No,,None,None,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,No,10,Electronic Check,69.1,69.09557,149.99,149.9913,6017.9,6017.868507,4,4,4,5,2,6,3,4
5848,26,KS,960,Logan,480,1,Urban,76,America/Chicago,1,43,2,GerX,51466.52,1,Married,1,Male,Yes,9,8.990901,14,3,0,1,Yes,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),47.8,47.83008,255.14,255.1372,4656.2,4656.200883,3,4,3,4,4,4,4,5
5849,46,OK,837,Johnston,784,3,Rural,76,America/Chicago,3,67,1,Boomers,11489.41,4,Widowed,1,Male,No,12.1,12.11043,10,2,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,0,Bank Transfer(automatic),71.4,71.39166,187.61,187.6094,6799.7,6799.703331,3,4,3,4,5,3,4,4
5850,39,NE,984,Madison,722,2,Suburban,76,America/Chicago,1,53,2,GerX,30848.77,4,Widowed,1,Male,Yes,7.9,7.908414,5,1,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,10,Electronic Check,63.1,63.07092,222.64,222.6362,5768.3,5768.283353,1,2,1,3,5,2,2,5
5851,60,WV,1700,Wyoming,248,2,Suburban,90,America/New_York,0,86,5,Post War,67611.32,2,Never Married,0,Female,No,9,9.049913,5,2,0,0,No,1,One year,1,Yes,1,Yes,,#N/A,DSL,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,11,Mailed Check,53.8,53.75074,202.64,202.6362,5232.1,5232.068649,4,5,3,4,4,4,4,3
5852,19,FL,1398,Sarasota,3734,2,Suburban,90,America/New_York,1,25,3,GerZ,27938,3,Separated,2,Nonbinary,No,15.1,15.10873,14,3,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,10,Electronic Check,63.7,63.67009,159.93,159.9349,5576.1,5576.065751,4,4,5,3,4,3,6,6
5853,44,NY,1108,Nassau,8217,1,Urban,90,America/New_York,1,60,1,Boomers,120330.5,3,Separated,1,Male,No,10,10.03591,11,2,1,1,Yes,1,One year,1,Yes,1,Yes,,None,None,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,10,Electronic Check,40.8,40.76616,185,184.9963,3832.1,3832.149233,5,4,5,3,3,4,4,3
5854,57,VT,1680,Windsor,741,1,Urban,90,America/New_York,10,21,3,GerZ,97769.66,2,Never Married,0,Female,No,5.1,5.148114,16,1,0,0,No,2,Two Year,1,Yes,0,No,,None,None,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,11,Mailed Check,60.5,60.54883,149.97,149.9707,5617.7,5617.743323,4,3,4,3,5,2,2,2
5855,13,AZ,997,Maricopa,46333,1,Urban,94,America/Phoenix,4,77,5,Post War,16257.75,0,Divorced,1,Male,No,12.2,12.16038,11,1,1,0,No,0,Month-to-month,1,Yes,0,No,,None,None,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,No,0,Bank Transfer(automatic),54.2,54.24636,149.99,149.9913,4875,4874.991387,4,4,4,5,3,4,3,4
5856,48,PA,387,Chester,6438,1,Urban,90,America/New_York,1,30,4,Millennials,11106.05,4,Widowed,0,Female,No,9.1,9.1295,17,0,0,1,Yes,1,One year,0,No,0,No,,None,None,0,No,0,No,0,No,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,10,Electronic Check,62.4,62.39739,117.47,117.472,5404.8,5404.784064,1,2,3,5,1,3,3,3
5857,52,SD,402,Clark,124,1,Urban,76,America/Chicago,2,51,2,GerX,13256.25,2,Never Married,1,Male,No,10.4,10.35114,13,0,2,0,No,0,Month-to-month,0,No,0,No,,None,None,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,11,Mailed Check,67.3,67.29466,114.98,114.9838,5748.5,5748.451595,2,2,4,3,3,3,3,4
5858,60,WV,1302,Randolph,14,1,Urban,90,America/New_York,2,70,1,Boomers,38179.17,4,Widowed,0,Female,No,3.2,3.245984,8,0,0,0,No,0,Month-to-month,1,Yes,1,Yes,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,0,No,0,No,0,No,11,Mailed Check,68.1,68.14379,127.47,127.4738,6167.8,6167.764392,4,3,5,4,4,3,3,3
5859,37,NC,1344,Rockingham,4382,3,Rural,90,America/New_York,3,58,1,Boomers,27204.24,4,Widowed,0,Female,No,11.7,11.6689,11,2,0,1,Yes,2,Two Year,0,No,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,Bank Transfer(automatic),69.3,69.29855,192.49,192.4885,5995.3,5995.290634,5,5,4,3,4,3,3,3
5860,37,NC,112,Alamance,15535,1,Urban,90,America/New_York,0,30,4,Millennials,20273.75,3,Separated,1,Male,No,10.7,10.7285,14,1,0,0,No,1,One year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,10,Electronic Check,47.8,47.78655,172.44,172.4441,4317.9,4317.862166,4,3,3,3,3,4,3,3
5861,14,CA,576,El Dorado,30141,3,Rural,88,America/Los_Angeles,1,84,5,Post War,14730.41,3,Separated,0,Female,No,14.3,14.25669,11,1,0,0,No,1,One year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,0,Bank Transfer(automatic),48.4,48.44746,192.44,192.4404,4246.3,4246.327693,4,4,3,2,4,3,3,3
5862,32,MI,1101,Muskegon,21111,1,Urban,78,America/Detroit,4,62,1,Boomers,36139.18,1,Married,1,Male,Yes,6.1,6.147368,13,0,2,0,No,1,One year,0,No,0,No,,#N/A,DSL,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,Bank Transfer(automatic),45,44.99139,257.65,257.6513,5010,5009.989918,2,4,4,3,5,3,3,3
5863,27,KY,1113,Nelson,2385,2,Suburban,90,America/New_York,1,35,4,Millennials,58123.92,4,Widowed,0,Female,No,10.3,10.28699,10,1,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,0,No,1,Yes,11,Mailed Check,57.6,57.56205,169.99,169.9928,4953.5,4953.477077,3,3,4,5,2,3,5,4
5864,14,CA,1440,Siskiyou,1918,2,Suburban,88,America/Los_Angeles,0,19,3,GerZ,82296.19,1,Married,0,Female,No,10,10.00281,8,1,1,1,Yes,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,Bank Transfer(automatic),70,70.00887,172.44,172.4441,6127.7,6127.72243,3,2,4,3,3,2,3,2
5865,34,MO,348,Cass,14225,3,Rural,76,America/Chicago,9,48,2,GerX,11577.65,4,Widowed,0,Female,No,13.8,13.82555,13,1,0,1,Yes,1,One year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,Bank Transfer(automatic),38.1,38.05187,194.98,194.9768,3754.3,3754.322576,4,5,4,2,6,2,2,3
5866,39,NE,688,Greeley,689,3,Rural,76,America/Chicago,2,43,2,GerX,41536.3,2,Never Married,0,Female,No,9.9,9.870099,12,0,0,1,Yes,2,Two Year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Credit Card (automatic),67.2,67.20585,152.44,152.4441,6294.4,6294.425576,3,3,4,2,5,3,3,3
5867,25,IN,1265,Porter,4852,3,Rural,76,America/Chicago,0,54,2,GerX,38613.42,0,Divorced,1,Male,No,12.6,12.62845,7,1,1,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Credit Card (automatic),55.4,55.3519,179.98,179.9794,4851.3,4851.255631,2,3,3,7,2,3,4,2
5868,48,PA,362,Centre,30228,2,Suburban,90,America/New_York,2,60,1,Boomers,20726.52,1,Married,1,Male,Yes,7.5,7.47385,15,1,0,0,No,0,Month-to-month,0,No,1,Yes,,#N/A,DSL,0,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,11,Mailed Check,65.7,65.67374,210.11,210.1051,6417.3,6417.345402,4,4,5,4,3,2,3,3
5869,44,NY,692,Greene,369,1,Urban,90,America/New_York,7,74,1,Boomers,14744.58,0,Divorced,0,Female,No,14.7,14.67896,13,1,0,0,No,0,Month-to-month,0,No,1,Yes,,#N/A,DSL,0,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,10,Electronic Check,64.1,64.11549,152.44,152.4441,6093.5,6093.493249,3,4,4,3,4,3,3,2
5870,47,OR,436,Columbia,16110,1,Urban,88,America/Los_Angeles,0,73,1,Boomers,125041.1,1,Married,1,Male,No,5.9,5.903059,10,1,2,0,No,0,Month-to-month,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,Bank Transfer(automatic),65.3,65.31603,172.44,172.4441,5613.2,5613.208858,3,3,3,4,3,3,3,6
5871,45,OH,1212,Paulding,1084,3,Rural,90,America/New_York,1,27,4,Millennials,15533,0,Divorced,1,Male,No,9,8.977927,8,0,0,0,No,1,One year,0,No,0,No,,None,None,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,1,Credit Card (automatic),39.5,39.5421,127.53,127.525,3656.4,3656.35595,4,3,4,3,4,4,4,4
5872,29,MA,284,Bristol,27345,3,Rural,90,America/New_York,2,79,5,Post War,59388.62,4,Widowed,1,Male,No,10.6,10.62573,14,1,0,0,No,2,Two Year,0,No,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Credit Card (automatic),61.6,61.59822,152.48,152.4798,5412.5,5412.512376,5,5,4,1,6,4,3,2
5873,29,MA,1256,Plymouth,24463,3,Rural,90,America/New_York,3,45,2,GerX,38039.5,0,Divorced,1,Male,No,9.8,9.772038,8,1,0,0,No,1,One year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,10,Electronic Check,71.8,71.83398,129.98,129.9778,6659.5,6659.547499,2,2,2,3,4,2,2,3
5874,25,IN,1547,Tippecanoe,1383,1,Urban,79,America/Indiana/Indianapolis,3,83,5,Post War,14078.51,1,Married,0,Female,No,13.1,13.12414,15,1,0,0,No,1,One year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,Bank Transfer(automatic),71,71.0114,192.49,192.4885,6053.7,6053.671903,4,4,4,4,4,3,4,3
5875,37,NC,494,Dare,125,1,Urban,90,America/New_York,1,30,4,Millennials,26139.47,0,Divorced,0,Female,Yes,7.7,7.733155,11,1,0,0,No,0,Month-to-month,0,No,1,Yes,,#N/A,DSL,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,11,Mailed Check,64.6,64.60644,255.12,255.1198,6426.7,6426.687397,5,5,4,5,3,5,5,4
